tanda,iata,aeropuerto,pais,rutas_en_hoja,ruta1,ruta2,ruta3,ruta4,ruta5
"4","ZTH","Zante","Grecia","48","Kalamaki Zakynthos","Argassi","Alykes","Limni Keriou","Tsilivi"
"4","JMK","Míkonos","Grecia","43","Míkonos ciudad","Ornos","Platis Gialos","Elia","Kalo Livadi"
"4","PAS","Paros","Grecia","35","Parikia","Naoussa","Golden Beach Paros","Aliki","Drios"
"4","JNX","Naxos","Grecia","14","Naxos","Agios Prokopios","Plaka","Agia Anna","Chora"
"4","JSI","Skiathos","Grecia","20","Skiathos Center","Koukounaries","Troulos Beach","Vassilias Beach","Skopelos"
"4","SMI","Samos","Grecia","21","Pythagoreio","Kokkari","Vathy Samos","Karlovassi","Votsalakia"
"4","MJT","Mitilene (Lesbos)","Grecia","19","Mytilini","Mithymna","Petra (Anaxos)","Plomari","Skala Kalloni"
"4","KVA","Kavala","Grecia","30","Limenas","Golden Beach Thassos","Limenaria","Ouranoupolis","Xanthi"
"4","EFL","Cefalonia","Grecia","45","Argostoli","Lassi","Fiskardo / Fiscardo","Lourdata","Katelios"
"4","VOL","Volos","Grecia","17","Kala Nera","Makrinitsa","Portaria (Makrinitsa)","Afissos","Milina"
"4","PVK","Preveza-Léucade","Grecia","22","Agios Nikitas","Nikiana","Perigiali","Vlicho","Kanali"
"4","ADB","Esmirna","Turquía","44","Izmir city centre","Kusadasi","Alaçati","Ozdere","Bodrum"
"4","ASR","Kayseri (Capadocia)","Turquía","20","Göreme","Ürgüp","Uçhisar","Kayseri city","Erciyes Ski Resort"
"4","NAV","Nevsehir (Capadocia)","Turquía","16","Göreme","Ürgüp","Uçhisar","Avanos","Ortahisar"
"4","TZX","Trebisonda","Turquía","20","Trabzon","Uzungöl","Rize","Ayder","Sümela"
"4","TBS","Tiflis","Georgia","24","Tbilisi city center","Batumi","Gudauri","Stepantsminda","Borjomi"
"4","KUT","Kutaisi","Georgia","20","Kutaisi","Batumi","Tbilisi city center","Mestia","Bakuriani"
"4","BUS","Batumi","Georgia","20","Batumi","Kobuleti","Tbilisi city center","Kutaisi","Chakvi"
"5","AMM","Amán","Jordania","26","Petra (Petra Jordan)","Wadi Rum","Dead Sea Hotel","Jerash","Madaba"
"5","AQJ","Áqaba","Jordania","19","Wadi Rum","Petra (Petra Jordan)","Tala Bay","Dead Sea Hotel","Amman City Centre"
"5","MCT","Mascate","Omán","18","Muscat","Nizwa","Sur Oman","Barka Oman","Al Bustan"
"5","TLV","Tel Aviv","Israel","45","Jerusalem","Haifa","Mar Muerto","Tiberíades","Herzliya"
"5","TUN","Túnez-Cartago","Túnez","27","Hammamet","Sousse","Yasmine Hammamet","Sidi Bou Said","Monastir"
"5","NBE","Enfidha-Hammamet","Túnez","25","Hammamet","Yasmine Hammamet","Sousse","Monastir","Nabeul"
"5","MIR","Monastir","Túnez","23","Sousse","Monastir","Mahdia","Hammamet","Skanes"
"5","LXR","Luxor","Egipto","6","Luxor","Edfu","Quseer","Soma Bay","Kharga Oasis"
"5","OZZ","Uarzazat","Marruecos","13","Aït Ben Haddou","Skoura","Boumalne Dades","Agdz","Kalaat M'Gouna"
"5","CPT","Ciudad del Cabo","Sudáfrica","139","Cape Town","Stellenbosch","Hermanus","Franschhoek","Hout Bay"
"5","JNB","Johannesburgo","Sudáfrica","42","Johannesburg city","Kruger National Park","Hazyview","Sandton","Hartbeespoort"
"5","DUR","Durban","Sudáfrica","32","Durban city centre","Umhlanga","Margate","Pietermaritzburg","Richards Bay"
"5","MBA","Mombasa","Kenia","22","Mombasa","Diani Beach","Watamu","Malindi","Kilifi"
"5","SEZ","Seychelles","Seychelles","19","Beau Vallon","Anse Royale","Eden Island","Victoria Seychelles","Baie Lazare"
"5","KBV","Krabi","Tailandia","37","Klong Muang Beach","Khao Lak","Phi Phi Islands","Lanta Island","Ao Nammao"
"5","USM","Koh Samui","Tailandia","32","Chaweng","Lamai Beach","Bophut","Maenam","Choeng Mon Beach"
"5","CNX","Chiang Mai","Tailandia","22","Chiang Mai","Mae Rim","Hang Dong","San Kamphaeng","Lampang"
"5","CMB","Colombo","Sri Lanka","57","Colombo city","Bentota","Galle","Kandy","Negombo"
"5","SIN","Singapur","Singapur","23","Singapore city centre","Sentosa Island","Marina Bay Hotels Singapore","Johor Bahru","Clarke Quay"
